data,precipitacao,temperatura,umidade,ano_semana,chuva_lag1,chuva_lag2
2014-01-05,12.6,25.75,64.94,2014-01,,
2014-01-12,46.8,24.31,67.71,2014-02,12.6,
2014-01-19,43.4,24.45,70.37,2014-03,46.8,12.6
2014-01-26,57.4,23.14,76.36,2014-04,43.4,46.8
2014-02-02,6.4,24.26,64.94,2014-05,57.4,43.4
2014-02-09,9.2,25.71,57.11,2014-06,6.4,57.4
2014-02-16,55.8,23.64,74.29,2014-07,9.2,6.4
2014-02-23,119.2,22.81,82.4,2014-08,55.8,9.2
2014-03-02,17.0,23.46,76.72,2014-09,119.2,55.8
2014-03-09,108.4,22.87,84.29,2014-10,17.0,119.2
2014-03-16,22.4,24.15,73.12,2014-11,108.4,17.0
2014-03-23,73.4,23.75,77.15,2014-12,22.4,108.4
2014-03-30,93.0,22.92,83.6,2014-13,73.4,22.4
2014-04-06,42.0,24.05,79.0,2014-14,93.0,73.4
2014-04-13,92.6,24.56,77.61,2014-15,42.0,93.0
2014-04-20,97.4,23.74,79.55,2014-16,92.6,42.0
2014-04-27,11.0,23.6,76.08,2014-17,97.4,92.6
2014-05-04,0.0,21.66,64.65,2014-18,11.0,97.4
2014-05-11,13.6,22.48,69.63,2014-19,0.0,11.0
2014-05-18,0.0,21.75,67.94,2014-20,13.6,0.0
2014-05-25,0.8,23.23,71.86,2014-21,0.0,13.6
2014-06-01,0.2,20.26,69.95,2014-22,0.8,0.0
2014-06-08,0.2,22.1,69.46,2014-23,0.2,0.8
2014-06-15,0.0,21.57,62.46,2014-24,0.2,0.2
2014-06-22,0.0,21.42,63.5,2014-25,0.0,0.2
2014-06-29,0.0,20.15,64.7,2014-26,0.0,0.0
2014-07-06,0.0,20.44,60.93,2014-27,0.0,0.0
2014-07-13,0.0,20.81,57.78,2014-28,0.0,0.0
2014-07-20,0.0,21.14,57.3,2014-29,0.0,0.0
2014-07-27,14.8,20.98,64.04,2014-30,0.0,0.0
2014-08-03,0.0,21.3,60.9,2014-31,14.8,0.0
2014-08-10,0.0,21.79,46.97,2014-32,0.0,14.8
2014-08-17,0.0,22.85,46.58,2014-33,0.0,0.0
2014-08-24,0.0,23.44,42.7,2014-34,0.0,0.0
2014-08-31,0.0,25.32,42.49,2014-35,0.0,0.0
2014-09-07,41.6,24.4,58.11,2014-36,0.0,0.0
2014-09-14,0.0,25.78,35.09,2014-37,41.6,0.0
2014-09-21,0.0,27.22,44.44,2014-38,0.0,41.6
2014-09-28,0.0,26.55,56.2,2014-39,0.0,0.0
2014-10-05,0.0,26.46,50.07,2014-40,0.0,0.0
2014-10-12,0.0,26.81,32.16,2014-41,0.0,0.0
2014-10-19,0.0,29.2,35.06,2014-42,0.0,0.0
2014-10-26,0.0,24.76,65.77,2014-43,0.0,0.0
2014-11-02,13.0,24.97,68.11,2014-44,0.0,0.0
2014-11-09,14.2,25.11,69.2,2014-45,13.0,0.0
2014-11-16,35.4,24.3,73.53,2014-46,14.2,13.0
2014-11-23,71.8,24.67,67.26,2014-47,35.4,14.2
2014-11-30,67.6,23.93,78.52,2014-48,71.8,35.4
2014-12-07,138.8,22.64,79.4,2014-49,67.6,71.8
2014-12-14,48.4,22.19,83.57,2014-50,138.8,67.6
2014-12-21,17.6,24.21,76.92,2014-51,48.4,138.8
2014-12-28,26.0,25.12,67.54,2014-52,17.6,48.4
2015-01-04,11.8,25.04,68.58,2015-01,26.0,17.6
2015-01-11,0.0,26.45,57.87,2015-02,11.8,26.0
2015-01-18,0.0,26.84,55.89,2015-03,0.0,11.8
2015-01-25,18.8,25.12,63.78,2015-04,0.0,0.0
2015-02-01,11.4,25.29,67.85,2015-05,18.8,0.0
2015-02-08,68.8,23.24,77.57,2015-06,11.4,18.8
2015-02-15,14.2,24.71,71.43,2015-07,68.8,11.4
2015-02-22,76.0,23.5,76.64,2015-08,14.2,68.8
2015-03-01,20.0,24.04,72.94,2015-09,76.0,14.2
2015-03-08,15.4,24.11,75.02,2015-10,20.0,76.0
2015-03-15,81.8,23.03,81.3,2015-11,15.4,20.0
2015-03-22,65.4,21.67,83.12,2015-12,81.8,15.4
2015-03-29,51.8,23.84,78.34,2015-13,65.4,81.8
2015-04-05,18.4,24.57,75.18,2015-14,51.8,65.4
2015-04-12,46.2,24.07,78.22,2015-15,18.4,51.8
2015-04-19,57.0,24.11,76.34,2015-16,46.2,18.4
2015-04-26,9.0,24.16,76.93,2015-17,57.0,46.2
2015-05-03,3.0,23.57,70.45,2015-18,9.0,57.0
2015-05-10,54.8,23.09,76.71,2015-19,3.0,9.0
2015-05-17,28.4,21.21,77.11,2015-20,54.8,3.0
2015-05-24,10.2,22.5,69.94,2015-21,28.4,54.8
2015-05-31,0.0,22.26,68.15,2015-22,10.2,28.4
2015-06-07,0.0,22.2,67.44,2015-23,0.0,10.2
2015-06-14,0.0,22.01,64.19,2015-24,0.0,0.0
2015-06-21,0.0,22.03,68.16,2015-25,0.0,0.0
2015-06-28,0.0,20.73,59.95,2015-26,0.0,0.0
2015-07-05,0.0,21.24,63.02,2015-27,0.0,0.0
2015-07-12,2.2,21.42,68.46,2015-28,0.0,0.0
2015-07-19,0.0,22.24,55.55,2015-29,2.2,0.0
2015-07-26,0.0,21.53,55.71,2015-30,0.0,2.2
2015-08-02,0.0,22.8,48.95,2015-31,0.0,0.0
2015-08-09,0.0,21.99,47.06,2015-32,0.0,0.0
