UF,MUNICIPIO ,CNES,NOME ,NATUREZA,GESTÃO,ATENDE SUS
GO,GOIANIA,7966229,AEROMEDICO ASA ROTATIVA 01,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339587,AMBULATORIO MUNICIPAL DE PSIQUIATRIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,5684145,AMBULATORIO TRANSVIVER,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339447,CAIS BAIRRO GOIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339501,CAIS CAMPINAS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2626691,CAIS CANDIDA DE MORAIS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,9872965,CAIS FINSOCIAL,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506688,CAIS JARDIM CURITIBA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339323,CAIS PARQUE DAS AMENDOEIRAS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506327,CAIS VILA NOVA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7600437,CAPS AD III IPE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,466174,CAPS AD OESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7340354,CAPS AD3 NOROESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,3049604,CAPS BEIJA FLOR,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,241997,CAPS LIBERDADE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,9228764,CASA DE SAUDE INDIGENA DE GOIANIA,ADMINISTRAÇÃO PÚBLICA,M,NÃO
GO,GOIANIA,7599676,CENTRAL DE ABASTECIMENTO FARMACEUTICO DE GOIAS,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,6940455,CENTRAL DE REGULACAO MEDICA DE URGENCIAS DE GOIANIA SAMU,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,132519,CENTRAL ESTADUAL DE REDE DE FRIO DE GOIAS,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,8005605,CENTRAL ESTADUAL DE REGULACAO DE ALTA COMPLEXIDADE TFD,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,7945043,CENTRAL ESTADUAL DE TRANSPLANTES DE GOIAS,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,113778,CENTRAL REGIONAL DE REDE DE FRIO CENTRAL,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,113727,CENTRAL REGIONAL DE REDE DE FRIO CENTRO SUL,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,9138625,CENTRO ATEN PROLONGADA CASA APOIO COND SOLIDARIEDADE CEAPSOL,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,3359662,CENTRO DE ATENCAO A SAUDE DE ALCOOLISTAS E TOXIC CAPSAD,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339498,CENTRO DE ATENCAO PSICOSSOCIAL AGUA VIVA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2659719,CENTRO DE ATENCAO PSICOSSOCIAL ESPERANCA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,3024504,CENTRO DE ATENCAO PSICOSSOCIAL GIRASSOL,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2626713,CENTRO DE ATENCAO PSICOSSOCIAL NOVO MUNDO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,3024490,CENTRO DE ATENCAO PSICOSSOCIAL VIDA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,8145717,CENTRO DE CONVIVENCIA E CULTURA CUCA FRESCA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,4319109,CENTRO DE GENETICA HUMANA CEGH ICB,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,154644,CENTRO DE INFORMACAO E ASSISTENCIA TOXICOLOGICA CIATOX,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,5882214,CENTRO DE REFERENCIA EM ATENCAO A SAUDE DA PESSOA IDOSA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339242,CENTRO DE REFERENCIA EM DIAGNOSTICO E TERAPEUTICA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2659832,CENTRO DE REFERENCIA EM OFTALMOLOGIA UFG,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,4302044,CENTRO DE SAUDE CHACARA DO GOVERNADOR,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339277,CENTRO DE SAUDE CONJUNTO RIVIERA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506777,CENTRO DE SAUDE SETOR PERIM BENEDITO DOS SANTOS VIEIRA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338580,CENTRO DE SAUDE WALDOMIRO CRUZ,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,5304539,CENTRO EST DO SIST INT DE ATEND AO TRAUMA E EMERGENCIA SIATE,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2506645,CENTRO ESTADUAL DE A AOS RADIOACIDENTADOS LEIDE DAS NEVES,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,9127305,CENTRO ESTADUAL DE AVALIACAO TERAPEUTICA ALCOOL E DROGAS,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2336766,CENTRO ESTADUAL DE MEDICACAO DE ALTO CUSTO JUAREZ BARBOSA,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2339781,CENTRO ESTADUAL DE ODONTOLOGIA SEBASTIAO ALVES RIBEIRO COEG,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2664836,CENTRO ESTADUAL DE REF MED INTEGRATIVA E COMPLEMENTAR CREMIC,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2339692,CENTRO ESTADUAL ESPECIALIZADO EM SAUDE MENTAL INFANTOJUVENIL,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,859346,CENTRO INTEGRADO DE PEDIATRIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7915047,CENTRO MUNICIPAL DE VACINACAO CMV,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6386342,CEO CANDIDA DE MORAIS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,693081,CEO JARDIM AMERICA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6386377,CEO NOVO HORIZONTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6386385,CEO NOVO MUNDO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6386369,CEO URIAS MAGALHAES,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6048196,CEREST CENTRO DE REFERENCIA A SAUDE DO TRABALHADOR GOIANIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7373767,CEREST ESTADUAL DE GOIAS,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2339412,CIAMS NOVO HORIZONTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339633,CIAMS SETOR PEDRO LUDOVICO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338556,CIAMS URIAS MAGALHAES,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,3503038,CMAC II CENTRAL DE MEDICAMENTOS DE ALTO CUSTO JUAREZ BARBOSA,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,3339637,CMAC III CENTRAL DE MEDICAMENTO DE ALTO CUSTO JUAREZ BARBOSA,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,4937996,COMPLEXO ONCOLOGICO DE REFERENCIA DO ESTADO DE GOIAS CORA,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,7208332,COMPLEXO REGULADOR ESTADUAL CRE,ADMINISTRAÇÃO PÚBLICA,E,SIM
GO,GOIANIA,2339757,COMPLEXO REGULADOR MUNICIPAL DE GOIANIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6654495,CORPO DE BOMBEIROS MILITAR DO ESTADO DE GOIAS,ADMINISTRAÇÃO PÚBLICA,M,NÃO
GO,GOIANIA,3216896,CROF CENTRO DE REFERENCIA EM ORTOPEDIA E FISIOTERAPIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7381549,CS CAMPUS SAMAMBAIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2878496,CS CANDIDA DE MORAIS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339404,CS CIDADE JARDIM MICHELLE MUNIZ DO CARMO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338491,CS CRIMEIA LESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339293,CS DR AFONSO HONORATO DA SILVA E SOUZA AGUA BRANCA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506823,CS ESPLANADA DO ANICUNS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338521,CS FAMA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,4314204,CS FINSOCIAL,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,505994,CS GOIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339544,CS HORTENCIA MENDONCA VILA REDENCAO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506807,CS ISABEL MARIA DA SILVA VILA MARIA DILCE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338505,CS JARDIM BALNEARIO MEIA PONTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,4313593,CS JARDIM NOVO MUNDO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339641,CS JOSE EGIDIO MARTINS VILA UNIAO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338572,CS MARINHO LEMOS NEGRAO DE LIMA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338483,CS NORTE FERROVIARIO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2878453,CS NOVO HORIZONTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339560,CS PARQUE AMAZONIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339366,CS PARQUE ANHANGUERA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2878437,CS PARQUE DAS AMENDOEIRAS,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339390,CS PARQUE INDUSTRIAL JOAO BRAZ,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339358,CS VILA BOA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339382,CS VILA CANAA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506653,CS VILA CLEMENTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339374,CS VILA MAUA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2339250,CS VILA MORAES,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,506664,CS VILA NOVA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6534317,CSF JARDIM COLORADO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,5475910,CSF JARDIM CURITIBA II,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506408,CSF JARDIM CURITIBA III,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6514405,CSF RES ANA CLARA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2506459,CSF TREMENDAO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7762828,DEPARTAMENTO DE VIGILANCIA E CONTROLE DE ZOONOSES,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2665255,DEPARTAMENTO DE VIGILANCIA SANITARIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6464904,DISTRITO SANITARIO CAMPINAS CENTRO,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6457835,DISTRITO SANITARIO LESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6458602,DISTRITO SANITARIO NOROESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6464882,DISTRITO SANITARIO NORTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6459072,DISTRITO SANITARIO OESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6459153,DISTRITO SANITARIO SUDOESTE,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,6460216,DISTRITO SANITARIO SUL,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2904489,ESPACO TERAPEUTICO E BEM ESTAR DO SERVIDOR,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,2338629,FACULDADE DE ODONTOLOGIA,ADMINISTRAÇÃO PÚBLICA,M,SIM
GO,GOIANIA,7762925,FARMACIA DE INSUMOS BASICOS E MEDICAMENTOS ESPECIAIS,ADMINISTRAÇÃO PÚBLICA,M,SIM
